Dex,Nombre,Pagina,Slot,Idioma/Nota
1,Bulbasaur,1.0,1.0,Japonés
4,Charmander,1.0,4.0,Chino Simplificado
6,Charizard,1.0,6.0,Chino Simplificado
19,Rattata,2.0,3.0,Inglés
35,Clefairy,3.0,3.0,Japonés
37,Vulpix,3.0,5.0,Japonés
41,Zubat,3.0,9.0,Japonés
42,Golbat,3.0,10.0,Japonés
43,Oddish,3.0,11.0,Inglés
44,Gloom,3.0,12.0,Chino Simplificado
50,Diglett,4.0,2.0,Japonés
52,Meowth,4.0,4.0,Japonés
53,Persian,4.0,5.0,Japonés
63,Abra,4.0,15.0,Japonés
81,Magnemite,6.0,1.0,Japonés
82,Magneton,6.0,2.0,Japonés
94,Gengar,6.0,14.0,Chino Simplificado
95,Onix,6.0,15.0,Japonés
96,Drowzee,6.0,16.0,Japonés
97,Hypno,7.0,1.0,Japonés
102,Exeggcute,7.0,6.0,Japonés
103,Exeggutor,7.0,7.0,Japonés
104,Cubone,7.0,8.0,Japonés
105,Marowak,7.0,9.0,Japonés
112,Rhydon,7.0,16.0,Japonés
117,Seadra,8.0,5.0,Japonés
120,Staryu,8.0,8.0,Japonés
121,Starmie,8.0,9.0,Japonés
124,Jynx,8.0,12.0,Japonés
125,Electabuzz,8.0,13.0,Japonés
128,Tauros,8.0,16.0,Japonés
131,Lapras,9.0,3.0,Chino Simplificado
133,Eevee,9.0,5.0,Japonés
163,Hoothoot,11.0,3.0,Japonés
164,Noctowl,11.0,4.0,Japonés
169,Crobat,11.0,9.0,Japonés
170,Chinchou,11.0,10.0,Japonés
175,Togepi,11.0,15.0,Japonés
176,Togetic,11.0,16.0,Japonés
177,Natu,12.0,1.0,Chino Simplificado
182,Bellossom,12.0,6.0,Chino Simplificado
183,Marill,12.0,7.0,Inglés
193,Yanma,13.0,1.0,Japonés
194,Wooper,13.0,2.0,Japonés
199,Slowking,13.0,7.0,Japonés
200,Misdreavus,13.0,8.0,Japonés
207,Gligar,13.0,15.0,Chino Simplificado
213,Shuckle,14.0,5.0,Japonés
215,Sneasel,14.0,7.0,Japonés
219,Magcargo,14.0,11.0,Inglés
223,Remoraid,14.0,15.0,Chino Simplificado
224,Octillery,14.0,16.0,Chino Simplificado
228,Houndour,15.0,4.0,Japonés
229,Houndoom,15.0,5.0,Chino Simplificado
231,Phanpy,15.0,7.0,Japonés
232,Donphan,15.0,8.0,Chino Simplificado
236,Tyrogue,15.0,12.0,Japonés
259,Marshtomp,17.0,3.0,Japonés
264,Linoone,17.0,8.0,Chino Simplificado
266,Silcoon,17.0,10.0,Japonés
267,Beautifly,17.0,11.0,Japonés
273,Seedot,18.0,1.0,Japonés
299,Nosepass,19.0,11.0,Chino Simplificado
303,Mawile,19.0,15.0,Inglés
307,Meditite,20.0,3.0,Japonés
311,Plusle,20.0,7.0,Chino Simplificado
316,Gulpin,20.0,12.0,Japonés
317,Swalot,20.0,13.0,Japonés
318,Carvanha,20.0,14.0,Chino Simplificado
319,Sharpedo,20.0,15.0,Chino Simplificado
322,Numel,21.0,2.0,Japonés
323,Camerupt,21.0,3.0,Japonés
326,Grumpig,21.0,6.0,Japonés
338,Solrock,22.0,2.0,Japonés
343,Baltoy,22.0,7.0,Japonés
345,Lileep,22.0,9.0,Japonés
346,Cradily,22.0,10.0,Japonés
349,Feebas,22.0,13.0,Japonés
355,Duskull,23.0,3.0,Japonés
356,Dusclops,23.0,4.0,Japonés
359,Absol,23.0,7.0,Japonés
383,Groudon,24.0,15.0,Chino Simplificado
385,Jirachi,25.0,1.0,Chino Simplificado
386,Deoxys-normal,25.0,2.0,Chino Simplificado
399,Bidoof,25.0,15.0,Japonés
417,Pachirisu,27.0,1.0,Japonés
426,Drifblim,27.0,10.0,Japonés
432,Purugly,27.0,16.0,Japonés
442,Spiritomb,28.0,10.0,Japonés
443,Gible,28.0,11.0,Chino Simplificado
444,Gabite,28.0,12.0,Chino Simplificado
447,Riolu,28.0,15.0,Japonés
450,Hippowdon ,29.0,2.0,Japonés
452,Drapion ,29.0,4.0,Inglés
453,Croagunk ,29.0,5.0,Japonés
454,Toxicroak ,29.0,6.0,Japonés
455,Carnivine ,29.0,7.0,Japonés
456,Finneon,29.0,8.0,Japonés
457,Lumineon ,29.0,9.0,Japonés
458,Mantyke ,29.0,10.0,Chino Simplificado
466,Electivire ,30.0,2.0,Japonés
476,Probopass,30.0,12.0,Chino Simplificado
479,Rotom ,30.0,15.0,Japonés
483,Dialga ,31.0,3.0,Japonés
484,Palkia ,31.0,4.0,Chino Simplificado
492,Shaymin-land,31.0,12.0,Japonés
496,Servine ,31.0,16.0,Japonés
497,Serperior ,32.0,1.0,Inglés
517,Munna,33.0,5.0,Japonés
541,Swadloon,34.0,13.0,Japonés
551,Sandile ,35.0,7.0,Japonés
554,Darumaka ,35.0,10.0,Chino Simplificado
555,Darmanitan-standard,35.0,11.0,Chino Simplificado
559,Scraggy ,35.0,15.0,Chino Simplificado
570,Zorua ,36.0,10.0,Japonés
